row,name,mass,planetaryRadius,orbitalPeriod,discoveryYear
2772,Kepler-543 b,,0.223,13.89961966,2016
2773,Kepler-544 b,,0.189,21.41616926,2016
2774,Kepler-545 b,,0.24,13.24934059,2016
2775,Kepler-546 b,,0.624,4.14702026,2016
2776,Kepler-547 b,,0.357,6.01038429,2016
2777,Kepler-548 b,,1.07,4.45419434,2016
2778,Kepler-549 b,,0.229,42.9495649,2016
2779,Kepler-549 c,,0.261,117.040498,2016
2780,Kepler-55 b,,0.22,27.94811449,2012
2781,Kepler-55 c,,0.2,42.1516418,2012
2782,Kepler-55 d,,0.142,2.211099,2014
2783,Kepler-55 e,,0.138,4.617534,2014
2784,Kepler-55 f,,0.142,10.198545,2014
2785,Kepler-550 b,,0.394,8.60010411,2016
2786,Kepler-551 b,,0.244,12.3764661,2016
2787,Kepler-552 b,,0.352,5.26341577,2016
2788,Kepler-553 b,,0.413,4.03046804,2016
2789,Kepler-553 c,,0.999,328.2399546,2016
2790,Kepler-554 b,,0.383,1.90220856,2016
2791,Kepler-555 b,,0.252,16.21775407,2016
2792,Kepler-556 b,,0.2,11.72292176,2016
2793,Kepler-557 b,,0.238,3.70598955,2016
2794,Kepler-558 b,,0.211,29.00790538,2016
2795,Kepler-559 b,,0.322,17.58752333,2016
2796,Kepler-56 b,0.07,0.58,10.5016,2012
2797,Kepler-56 c,0.569,0.88,21.40239,2012
2798,Kepler-56 d,5.61,,1002,2013
2799,Kepler-560 b,,0.153,18.47764449,2016
2800,Kepler-561 b,,0.621,58.3620495,2016
2801,Kepler-561 c,,0.239,5.35016198,2016
2802,Kepler-562 b,,0.465,18.00931444,2016
2803,Kepler-563 b,,0.276,22.18432708,2016
2804,Kepler-564 b,,0.413,3.75083228,2016
2805,Kepler-565 b,,0.325,4.24374723,2016
2806,Kepler-566 b,,0.192,18.42794624,2016
2807,Kepler-567 b,,0.201,16.54297375,2016
2808,Kepler-568 b,,0.202,11.02347475,2016
2809,Kepler-569 b,,0.282,34.18890521,2016
2810,Kepler-57 b,18.86,0.2,5.7293196,2012
2811,Kepler-57 c,6.95,0.14,11.6092567,2012
2812,Kepler-570 b,,0.219,4.301662,2016
2813,Kepler-571 b,,0.236,4.79859939,2016
2814,Kepler-572 b,,0.23,17.20523483,2016
2815,Kepler-573 b,,0.249,22.18329658,2016
2816,Kepler-574 b,,0.213,7.65880414,2016
2817,Kepler-575 b,,0.213,9.37891944,2016
2818,Kepler-576 b,,0.292,29.91136794,2016
2819,Kepler-577 b,,0.227,25.69578251,2016
2820,Kepler-578 b,,0.178,1.6168837,2016
2821,Kepler-579 b,,0.178,9.66857723,2016
2822,Kepler-58 b,1.39,0.25,10.2184954,2012
2823,Kepler-58 c,2.19,0.26,15.5741568,2012
2824,Kepler-58 d,,0.262,40.101371,2014
2825,Kepler-580 b,,0.229,8.22241966,2016
2826,Kepler-581 b,,0.235,40.6069821,2016
2827,Kepler-582 b,,0.328,18.49235668,2016
2828,Kepler-583 b,,0.203,6.5100253,2016
2829,Kepler-584 b,,0.376,35.1810304,2016
2830,Kepler-585 b,,0.252,2.75235975,2016
2831,Kepler-586 b,,0.249,2.10472218,2016
2832,Kepler-587 b,,0.199,10.94027841,2016
2833,Kepler-588 b,,0.235,4.22162536,2016
2834,Kepler-589 b,,0.203,16.54964934,2016
2835,Kepler-59 b,2.05,0.098,11.8681707,2012
2836,Kepler-59 c,1.37,0.18,17.9801235,2012
2837,Kepler-590 b,,0.359,5.85296257,2016
2838,Kepler-591 b,,0.302,81.1694299,2016
2839,Kepler-592 b,,0.213,2.82019241,2016
2840,Kepler-593 b,,0.256,21.21708973,2016
2841,Kepler-594 b,,0.194,13.64618192,2016
2842,Kepler-595 b,,0.34,25.30292332,2016
2843,Kepler-596 b,,0.309,21.30022655,2016
2844,Kepler-597 b,,0.211,13.02365861,2016
2845,Kepler-598 b,,0.134,3.70175428,2016
2846,Kepler-599 b,,0.253,15.65562652,2016
2847,Kepler-6 b,0.669,1.323,3.234723,2010
2848,Kepler-60 b,0.01317,0.153,7.1316185,2012
2849,Kepler-60 c,0.0121,0.17,8.9193459,2012
2850,Kepler-60 d,0.0131,0.178,11.9016171,2012
2851,Kepler-600 b,,0.259,23.67517607,2016
2852,Kepler-601 b,,0.17,5.37886844,2016
2853,Kepler-602 b,,0.186,15.28469497,2016
2854,Kepler-603 b,,0.236,21.05358596,2016
2855,Kepler-603 c,,0.58,127.9075774,2016
2856,Kepler-603 d,,0.118,6.2171292,2016
2857,Kepler-604 b,,0.231,25.85501786,2016
2858,Kepler-605 b,,0.128,3.38353807,2016
2859,Kepler-605 c,,0.077,2.35895152,2016
2860,Kepler-606 b,,0.295,24.31575992,2016
2861,Kepler-607 b,,0.078,0.6381632,2016
2862,Kepler-608 b,,0.325,6.41251504,2016
2863,Kepler-609 b,,0.299,6.52121067,2016
2864,Kepler-61 b,,0.192,59.87756,2012
2865,Kepler-610 b,,0.374,6.99692655,2016
2866,Kepler-610 c,,0.294,151.86392,2016
2867,Kepler-611 b,,0.147,2.4370333,2016
2868,Kepler-612 b,,0.253,3.72215641,2016
2869,Kepler-613 b,,0.204,15.77979614,2016
2870,Kepler-614 b,,0.213,14.03491514,2016
2871,Kepler-615 b,,0.155,10.35584657,2016
2872,Kepler-616 b,,0.217,9.99761851,2016
2873,Kepler-616 c,,0.304,90.4113556,2016
2874,Kepler-617 b,,0.118,1.68269615,2016
2875,Kepler-618 b,,0.232,3.59576964,2016
2876,Kepler-619 b,,0.282,5.4042722,2016
2877,Kepler-619 c,,0.151,1.20846503,2016
2878,Kepler-62 b,0.028,0.117,5.714932,2013
2879,Kepler-62 c,0.0126,0.048,12.4417,2013
2880,Kepler-62 d,0.044,0.174,18.16406,2013
2881,Kepler-62 e,0.113,0.144,122.3874,2013
2882,Kepler-62 f,0.11,0.126,267.291,2013
2883,Kepler-620 b,,0.296,12.91375431,2016
2884,Kepler-621 b,,0.205,2.62811375,2016
2885,Kepler-622 b,,0.19,14.28226676,2016
2886,Kepler-623 b,,0.269,9.07097734,2016
2887,Kepler-624 b,,0.206,14.58649607,2016
2888,Kepler-625 b,,0.178,7.75192492,2016
2889,Kepler-625 c,,0.094,4.1653651,2016
2890,Kepler-626 b,,0.204,14.48585199,2016
2891,Kepler-627 b,,0.333,40.6994443,2016
2892,Kepler-628 b,,0.749,15.4580567,2016
2893,Kepler-629 b,,0.123,7.2385854,2016
2894,Kepler-63 b,,0.545,9.4341505,2013
2895,Kepler-630 b,,0.284,161.4743937,2016
2896,Kepler-631 b,,0.259,17.97979059,2016
2897,Kepler-632 b,,0.197,30.99660733,2016
2898,Kepler-633 b,,0.145,8.50340718,2016
2899,Kepler-634 b,,0.169,5.16950177,2016
2900,Kepler-635 b,,0.236,23.44971004,2016
2901,Kepler-636 b,,0.397,16.08066115,2016
2902,Kepler-637 b,,0.424,23.20584623,2016
2903,Kepler-638 b,,0.163,6.07972888,2016
2904,Kepler-639 b,,0.212,10.21420496,2016
2905,Kepler-64 (AB) b,0.53,0.553,138.506,2013
2906,Kepler-640 b,,0.228,22.24813967,2016
2907,Kepler-641 b,,0.165,9.48961571,2016
2908,Kepler-642 b,,0.259,4.41745855,2016
2909,Kepler-643 b,,0.906,16.33889626,2016
2910,Kepler-644 b,,0.281,3.1739171,2016
2911,Kepler-645 b,,0.187,3.27582262,2016
2912,Kepler-646 b,,0.178,15.87364565,2016
2913,Kepler-647 b,,0.104,16.2254649,2016
2914,Kepler-648 b,,0.287,17.4211749,2016
2915,Kepler-649 b,,0.202,29.90722674,2016
2916,Kepler-65 b,,0.1257,2.1549156,2013
2917,Kepler-65 c,0.084,0.2294,5.8599408,2013
2918,Kepler-65 d,,0.1344,8.131231,2013
2919,Kepler-650 b,,0.264,3.03214559,2016
2920,Kepler-651 b,,0.211,21.38521506,2016
2921,Kepler-652 b,,0.222,4.18200253,2016
2922,Kepler-653 b,,0.174,14.70748976,2016
2923,Kepler-653 c,,0.07,0.90037648,2016
2924,Kepler-654 b,,0.185,13.72465129,2016
2925,Kepler-655 b,,0.242,46.4063358,2016
2926,Kepler-656 b,,0.278,1.26025909,2016
2927,Kepler-657 b,,0.314,24.54350418,2016
2928,Kepler-658 b,,0.145,1.28707676,2016
2929,Kepler-659 b,,0.223,17.671796,2016
2930,Kepler-66 b,0.31,0.25,17.815815,2013
2931,Kepler-660 b,,0.229,9.27358194,2016
2932,Kepler-661 b,,0.274,6.02930132,2016
2933,Kepler-662 b,,0.194,21.67697486,2016
2934,Kepler-663 b,,0.232,4.99678284,2016
2935,Kepler-664 b,,0.237,2.52559332,2016
2936,Kepler-665 b,,0.232,16.01310205,2016
2937,Kepler-666 b,,0.214,4.49876092,2016
2938,Kepler-667 b,,0.422,41.43962808,2016
2939,Kepler-668 b,,0.241,8.35390639,2016
2940,Kepler-669 b,,0.431,4.12554687,2016
2941,Kepler-67 b,0.31,0.26,15.7259,2013
2942,Kepler-670 b,,1.176,2.81650485,2016
2943,Kepler-671 b,,0.24,4.28095859,2016
2944,Kepler-672 b,,0.223,38.3774623,2016
2945,Kepler-673 b,,0.583,3.72873109,2016
2946,Kepler-674 b,,0.151,2.24338185,2016
2947,Kepler-675 b,,0.218,2.33743801,2016
2948,Kepler-676 b,,0.271,11.59822172,2016
2949,Kepler-677 b,,0.48,6.57531678,2016
2950,Kepler-678 b,,0.459,7.27503724,2016
2951,Kepler-679 b,,0.269,12.39358604,2016
2952,Kepler-68 b,0.0188,0.206,5.3987533,2013
2953,Kepler-68 c,0.00686,0.0827,9.604979,2013
2954,Kepler-68 d,0.84,,625,2013
2955,Kepler-680 b,,0.216,3.68992629,2016
2956,Kepler-681 b,,0.275,26.39435646,2016
2957,Kepler-682 b,,0.658,12.61190667,2016
2958,Kepler-683 b,,0.176,2.53918318,2016
2959,Kepler-684 b,,0.3,6.77030201,2016
2960,Kepler-685 b,,0.944,1.6255222,2016
2961,Kepler-686 b,,1.084,1.59474546,2016
2962,Kepler-687 b,,0.314,20.50586978,2016
2963,Kepler-688 b,,0.871,3.89593684,2016
2964,Kepler-689 b,,0.258,22.36656079,2016
2965,Kepler-69 b,,0.199,13.722341,2013
2966,Kepler-69 c,,0.153,242.4613,2013
2967,Kepler-690 b,,0.531,7.74809437,2016
2968,Kepler-691 b,,0.186,8.114379,2016
2969,Kepler-692 b,,0.277,21.81293494,2016
2970,Kepler-693 b,,0.908,15.37563332,2016
2971,Kepler-694 b,,0.25,6.36584161,2016
2972,Kepler-695 b,,0.822,3.04033042,2016
2973,Kepler-696 b,,0.548,4.19042557,2016
2974,Kepler-697 b,,0.368,3.70987065,2016
2975,Kepler-698 b,,0.328,16.32976218,2016
2976,Kepler-699 b,,1.259,27.80756293,2016
2977,Kepler-7 b,0.433,1.614,4.885525,2010
2978,Kepler-70  b,0.014,0.068,0.2401,2011
2979,Kepler-70 c,0.0021,0.078,0.34289,2011
2980,Kepler-700 b,,0.534,80.8720639,2016
2981,Kepler-701 b,,0.253,10.35533177,2016
2982,Kepler-702 b,,0.818,10.52629406,2016
2983,Kepler-703 b,,0.732,4.58352176,2016
2984,Kepler-704 b,,0.233,3.76182115,2016
2985,Kepler-705 b,,0.188,56.0560538,2016
2986,Kepler-706 b,,1.175,41.40831347,2016
2987,Kepler-707 b,,0.119,2.23749275,2016
2988,Kepler-708 b,,0.261,3.16789194,2016
2989,Kepler-709 b,,0.261,16.08524954,2016
2990,Kepler-71 b,,1.0452,3.905081,2013
2991,Kepler-710 b,,0.168,4.34728553,2016
2992,Kepler-711 b,,0.304,23.58914398,2016
2993,Kepler-712 b,,0.304,21.02247699,2016
2994,Kepler-712 c,,0.433,226.89047,2016
2995,Kepler-713 b,,0.221,7.411141,2016
2996,Kepler-714 b,,0.863,8.09888799,2016
2997,Kepler-715 b,,0.335,10.00652995,2016
2998,Kepler-716 b,,0.259,10.37168453,2016
2999,Kepler-717 b,,0.216,4.40840023,2016
3000,Kepler-718 b,,1.477,2.0523499,2016
3001,Kepler-719 b,,0.76,5.00731778,2016
3002,Kepler-720 b,,0.75,4.70832654,2016
3003,Kepler-721 b,,0.236,5.39202539,2016
3004,Kepler-722 b,,0.235,4.09357325,2016
3005,Kepler-722 c,,0.252,105.144749,2016
3006,Kepler-723 b,,1.088,4.08227507,2016
3007,Kepler-724 b,,0.294,3.31494634,2016
3008,Kepler-725 b,,0.948,39.64317811,2016
3009,Kepler-726 b,,0.291,21.80451088,2016
3010,Kepler-727 b,,0.226,5.15448442,2016
3011,Kepler-728 b,,0.298,5.74347727,2016
3012,Kepler-729 b,,0.319,3.16635371,2016
3013,Kepler-730 b,,0.822,6.49168426,2016
3014,Kepler-731 b,,1.238,3.85560355,2016
3015,Kepler-732 b,,0.194,9.46781405,2016
3016,Kepler-732 c,,0.113,0.89304124,2016
3017,Kepler-733 b,,0.252,20.83424726,2016
3018,Kepler-734 b,,0.318,6.10485286,2016
3019,Kepler-735 b,,0.263,11.51516988,2016
3020,Kepler-736 b,,0.261,3.60147201,2016
3021,Kepler-737 b,,0.175,28.59915399,2016
3022,Kepler-738 b,,0.223,24.58721573,2016
3023,Kepler-739 b,,0.296,12.53248465,2016
3024,Kepler-74 b,0.68,1.32,7.340718,2012
3025,Kepler-740 b,,0.408,3.58410122,2016
3026,Kepler-741 b,,0.265,7.03902374,2016
3027,Kepler-742 b,,0.289,8.36086824,2016
3028,Kepler-743 b,,0.108,3.17926292,2016
3029,Kepler-744 b,,0.145,12.06222443,2016
3030,Kepler-745 b,,0.193,9.93143556,2016
3031,Kepler-746 b,,0.099,3.48159251,2016
3032,Kepler-747 b,,0.47,35.61760587,2016
3033,Kepler-748 b,,0.225,7.40742793,2016
3034,Kepler-749 b,,0.277,17.31716585,2016
3035,Kepler-75 b,9.9,1.03,8.884924,2013
3036,Kepler-750 b,,0.274,9.42887179,2016
3037,Kepler-750 c,,0.145,4.08899022,2016
3038,Kepler-751 b,,0.219,17.44490636,2016
3039,Kepler-752 b,,0.251,18.82747265,2016
3040,Kepler-753 b,,0.17,5.74772501,2016
3041,Kepler-754 b,,0.179,14.5596237,2016
3042,Kepler-755 b,,0.157,1.26909037,2016
3043,Kepler-755 c,,0.112,2.85313364,2016
3044,Kepler-756 b,,0.1,1.22486632,2016
3045,Kepler-757 b,,0.121,1.02267882,2016
3046,Kepler-758 b,,0.221,12.1097104,2016
3047,Kepler-758 c,,0.151,4.75793986,2016
3048,Kepler-758 d,,0.189,20.4966197,2016
3049,Kepler-758 e,,0.136,8.1934719,2016
3050,Kepler-759 b,,0.203,41.805985,2016
3051,Kepler-76 b,1.96,1.25,1.54492875,2013
3052,Kepler-760 b,,0.273,8.70419416,2016
3053,Kepler-760 c,,0.132,2.46697439,2016
3054,Kepler-761 b,,0.181,10.12804789,2016
3055,Kepler-762 b,,1.131,3.7705521,2016
3056,Kepler-763 b,,0.109,1.19655156,2016
3057,Kepler-764 b,,0.146,7.33683936,2016
3058,Kepler-765 b,,0.217,27.6655226,2016
3059,Kepler-766 b,,0.302,6.10027804,2016
3060,Kepler-767 b,,0.592,161.5280101,2016
3061,Kepler-768 b,,0.16,11.3910025,2016
3062,Kepler-769 b,,0.261,7.42608998,2016
3063,Kepler-769 c,,0.16,15.9870174,2016
3064,Kepler-77 b,0.43,0.96,3.5787087,2013
3065,Kepler-770 b,,0.205,18.92540274,2016
3066,Kepler-770 c,,0.107,1.47532231,2016
3067,Kepler-770 d,,0.125,4.15244722,2016
3068,Kepler-771 b,,0.162,8.73485836,2016
3069,Kepler-772 b,,0.162,12.99207337,2016
3070,Kepler-773 b,,0.128,3.74910006,2016
3071,Kepler-774 b,,0.283,11.0895723,2016
3072,Kepler-775 b,,0.106,0.97486893,2016
3073,Kepler-776 b,,0.114,4.89718784,2016
3074,Kepler-777 b,,0.131,5.72812599,2016
3075,Kepler-778 b,,0.15,3.75574426,2016
3076,Kepler-779 b,,0.082,7.09714223,2016
3077,Kepler-78 b,0.005317308,0.10705702,0.35500745,2013
3078,Kepler-780 b,,0.079,0.67737516,2016
3079,Kepler-781 b,,0.258,13.2140732,2016
3080,Kepler-782 b,,0.286,158.6853308,2016
3081,Kepler-783 b,,0.07,4.29264638,2016
3082,Kepler-784 b,,0.141,31.5922646,2016
3083,Kepler-785 b,,1.162,1.97376093,2016
3084,Kepler-786 b,,0.217,53.5293487,2016
3085,Kepler-787 b,,0.114,0.9283105,2016
3086,Kepler-788 b,,0.227,8.39846269,2016
3087,Kepler-789 b,,0.189,8.63847725,2016
3088,Kepler-79 b,0.034285,0.309568,13.4845,2013
3089,Kepler-79 c,0.018558,0.332,27.4029,2013
3090,Kepler-79 d,0.018872,0.64,52.0902,2013
3091,Kepler-79 e,0.0129,0.312,81.0659,2013
3092,Kepler-790 b,,0.194,13.73469807,2016
3093,Kepler-791 b,,0.272,14.5539759,2016
3094,Kepler-792 b,,0.175,11.30119217,2016
3095,Kepler-793 b,,0.122,4.24153639,2016
3096,Kepler-794 b,,0.188,11.13125132,2016
3097,Kepler-795 b,,0.15,29.6193421,2016
3098,Kepler-796 b,,0.116,6.40087618,2016
3099,Kepler-797 b,,0.194,27.07237711,2016
3100,Kepler-798 b,,0.213,13.71933369,2016
3101,Kepler-799 b,,0.614,133.4605235,2016
3102,Kepler-8 b,0.603,1.419,3.52254,2010
3103,Kepler-80 b,0.0218,0.21,7.05,2012
3104,Kepler-80 c,0.0212,0.23,9.52,2012
3105,Kepler-80 d,0.0212,0.125,3.07,2012
3106,Kepler-80 e,0.013,0.134,4.64,2012
3107,Kepler-80 f,,0.116,0.99,2012
3108,Kepler-800 b,,0.254,14.13176026,2016
3109,Kepler-801 b,,0.178,11.41928253,2016
3110,Kepler-802 b,,0.316,40.0587473,2016
3111,Kepler-803 b,,0.338,50.28638192,2016
3112,Kepler-804 b,,0.173,14.37457351,2016
3113,Kepler-804 c,,0.102,9.65185017,2016
3114,Kepler-805 b,,0.258,30.8638931,2016
3115,Kepler-806 b,,0.102,8.09219642,2016
3116,Kepler-807 b,,0.93,117.9310878,2016
3117,Kepler-808 b,,0.13,0.63133235,2016
3118,Kepler-809 b,,0.269,55.63934,2016
3119,Kepler-81 b,,0.2269,5.954893,2013
3120,Kepler-81 c,,0.2188,12.039901,2013
3121,Kepler-81 d,,0.108,20.837846,2014
3122,Kepler-810 b,,0.172,4.59725385,2016
3123,Kepler-811 b,,0.241,23.58447697,2016
3124,Kepler-812 b,,0.317,10.11716531,2016
3125,Kepler-813 b,,0.191,19.12947337,2016
3126,Kepler-814 b,,0.189,6.1469851,2016
3127,Kepler-815 b,,0.367,8.57503552,2016
3128,Kepler-816 b,,0.914,10.50682565,2016
3129,Kepler-817 b,,0.806,3.99010623,2016
3130,Kepler-818 b,,0.456,10.03538581,2016
3131,Kepler-819 b,,0.246,33.1995648,2016
3132,Kepler-82 b,,0.367,26.443794,2011
3133,Kepler-82 c,,0.503,51.531855,2011
3134,Kepler-82 d,,0.158,2.382961,2011
3135,Kepler-82 e,,0.22,5.902206,2011
3136,Kepler-820 b,,0.543,127.8338098,2016
3137,Kepler-821 b,,0.117,1.92279873,2016
3138,Kepler-822 b,,0.158,3.22296927,2016
3139,Kepler-823 b,,0.14,4.16809082,2016
3140,Kepler-824 b,,0.167,4.51436633,2016
3141,Kepler-825 b,,0.136,3.77360059,2016
3142,Kepler-825 c,,0.164,8.1818246,2016
3143,Kepler-826 b,,0.112,4.48758907,2016
3144,Kepler-827 b,,0.502,51.92927591,2016
3145,Kepler-828 b,,0.135,0.56785714,2016
3146,Kepler-829 b,,0.188,6.88337562,2016
3147,Kepler-83 b,,0.209,9.770513,2013
3148,Kepler-83 c,,0.1733,20.08976,2013
3149,Kepler-83 d,,0.173,5.169796,2014
3150,Kepler-830 b,,0.152,11.29695137,2016
3151,Kepler-831 b,,0.113,5.62153941,2016
3152,Kepler-832 b,,0.184,7.1396941,2016
3153,Kepler-833 b,,0.18,18.7546998,2016
3154,Kepler-834 b,,0.18,13.32388301,2016
3155,Kepler-835 b,,0.249,11.41909375,2016
3156,Kepler-836 b,,0.244,11.36112327,2016
3157,Kepler-837 b,,0.228,16.56059504,2016
3158,Kepler-838 b,,0.244,15.74957994,2016
3159,Kepler-839 b,,0.229,37.8144514,2016
3160,Kepler-84 b,,0.1965,8.725854,2013
3161,Kepler-84 c,,0.2144,12.882525,2013
3162,Kepler-84 d,,0.123,4.224537,2014
3163,Kepler-84 e,,0.232,27.434389,2014
3164,Kepler-84 f,,0.196,44.552169,2014
3165,Kepler-840 b,,1.523,2.49577962,2016
3166,Kepler-841 b,,0.467,124.4198398,2016
3167,Kepler-842 b,,0.143,1.21956827,2016
3168,Kepler-843 b,,0.231,2.05387982,2016
3169,Kepler-844 b,,0.15,2.61302086,2016
3170,Kepler-845 b,,0.182,0.92785982,2016
3171,Kepler-846 b,,0.221,19.80792185,2016
3172,Kepler-847 b,,0.105,2.3432319,2016
3173,Kepler-848 b,,0.152,6.91134416,2016
3174,Kepler-849 b,,0.637,394.6244904,2016
3175,Kepler-85 b,0.0465,0.178,8.305992,2013
3176,Kepler-85 c,0.059,0.197,12.51217,2013
3177,Kepler-85 d,,0.107,17.91323,2014
3178,Kepler-85 e,,0.113,25.216751,2014
3179,Kepler-850 b,,0.159,7.19303878,2016
3180,Kepler-851 b,,0.15,8.50699658,2016
3181,Kepler-852 b,,0.227,44.9309804,2016
3182,Kepler-853 b,,0.151,7.16892463,2016
3183,Kepler-854 b,,1.492,2.14463285,2016
3184,Kepler-855 b,,0.745,7.8866311,2016
3185,Kepler-856 b,,0.83,8.02768059,2016
3186,Kepler-857 b,,0.607,85.35129427,2016
3187,Kepler-858 b,,0.434,76.13602028,2016
3188,Kepler-859 b,,0.276,20.38177573,2016
3189,Kepler-86 b,,0.905,282.5255,2013
3190,Kepler-860 b,,0.289,5.10137945,2016
3191,Kepler-861 b,,0.203,3.94963138,2016
3192,Kepler-862 b,,0.197,3.14866453,2016
3193,Kepler-863 b,,0.259,15.59461874,2016
3194,Kepler-864 b,,0.214,5.83376092,2016
3195,Kepler-865 b,,0.222,14.16399294,2016
3196,Kepler-866 b,,0.145,2.61703254,2016
3197,Kepler-867 b,,0.414,150.242127,2016
3198,Kepler-868 b,,0.183,5.03251791,2016
3199,Kepler-869 b,,0.322,40.4287755,2016
3200,Kepler-87 b,1.02,1.21,114.73709,2013
3201,Kepler-87 c,0.0201,0.549,192.363,2012
3202,Kepler-870 b,,0.248,21.3587621,2016
3203,Kepler-871 b,,0.334,22.0459018,2016
3204,Kepler-872 b,,0.178,2.57885507,2016
3205,Kepler-873 b,,0.335,20.5533844,2016
3206,Kepler-874 b,,0.352,40.0686727,2016
3207,Kepler-875 b,,0.259,27.5073799,2016
3208,Kepler-876 b,,0.128,5.14438011,2016
3209,Kepler-877 b,,0.189,18.45847097,2016
3210,Kepler-878 b,,0.172,25.9422033,2016
3211,Kepler-879 b,,0.229,33.3855938,2016
3212,Kepler-88 b,0.027373124,0.337229614,10.95416,2013
3213,Kepler-88 c,0.626869808,,22.3395,2013
3214,Kepler-880 b,,0.237,7.71468975,2016
3215,Kepler-881 b,,0.159,4.44448017,2016
3216,Kepler-882 b,,0.11,3.98953967,2016
3217,Kepler-883 b,,0.159,12.98495573,2016
3218,Kepler-884 b,,0.11,5.69919514,2016
3219,Kepler-885 b,,0.223,18.11472949,2016
3220,Kepler-886 b,,0.136,6.24146367,2016
3221,Kepler-887 b,,0.164,20.42228798,2016
3222,Kepler-887 c,,0.101,7.63846023,2016
3223,Kepler-888 b,,0.157,70.6979061,2016
3224,Kepler-889 b,,0.097,3.744439,2016
3225,Kepler-89 b,0.033,0.153,3.7432451,2012
3226,Kepler-89 c,0.049,0.386,10.423707,2012
3227,Kepler-89 d,0.164,0.98,22.3430004,2012
3228,Kepler-89 e,0.041,0.55,54.319931,2012
3229,Kepler-890 b,,0.793,52.75875577,2016
3230,Kepler-891 b,,0.572,53.44945593,2016
3231,Kepler-892 b,,0.251,13.7521072,2016
3232,Kepler-893 b,,0.27,6.33855761,2016
3233,Kepler-894 b,,0.248,9.803224,2016
3234,Kepler-895 b,,0.137,2.80624233,2016
3235,Kepler-896 b,,0.226,144.547396,2016
3236,Kepler-897 b,,0.213,8.0472642,2016
3237,Kepler-898 b,,0.133,5.8706191,2016
3238,Kepler-899 b,,0.239,19.17891293,2016
3239,Kepler-9 b,0.141899758,0.990277438,19.22418,2010
3240,Kepler-9 c,0.097536419,0.954591765,39.03106,2010
3241,Kepler-9 d,0.016518264,0.178428367,1.592851,2010
3242,Kepler-90 b,,0.117,7.008151,2013
3243,Kepler-90 c,,0.106,8.719375,2013
3244,Kepler-90 d,,0.257,59.73667,2013
3245,Kepler-90 e,,0.238,91.93913,2013
3246,Kepler-90 f,,0.258,124.9144,2013
3247,Kepler-90 g,,0.725,210.60697,2013
3248,Kepler-90 h,,1.01,331.60059,2013
3249,Kepler-90 i,,0.118,14.44912,2017
3250,Kepler-900 b,,0.186,6.9913086,2016
3251,Kepler-901 b,,0.122,3.51749439,2016
3252,Kepler-902 b,,0.227,40.1099547,2016
3253,Kepler-903 b,,0.179,10.3507721,2016
3254,Kepler-903 c,,0.226,62.9228557,2016
3255,Kepler-904 b,,0.158,3.02166863,2016
3256,Kepler-905 b,,0.126,5.08274652,2016
3257,Kepler-906 b,,0.188,41.6979976,2016
3258,Kepler-907 b,,0.107,15.86621821,2016
3259,Kepler-908 b,,0.109,1.34059747,2016
3260,Kepler-909 b,,0.131,13.93290318,2016
3261,Kepler-91 b,0.73,1.384,6.24658,2013
3262,Kepler-910 b,,0.073,2.36436901,2016
3263,Kepler-911 b,,0.232,20.310501,2016
3264,Kepler-912 b,,0.25,2.53475627,2016
3265,Kepler-913 b,,0.184,10.29672521,2016
3266,Kepler-914 b,,0.123,4.40966548,2016
3267,Kepler-915 b,,0.134,4.59489604,2016
3268,Kepler-916 b,,0.157,32.2968798,2016
3269,Kepler-917 b,,0.17,2.97041437,2016
3270,Kepler-918 b,,0.155,4.85386933,2016
3271,Kepler-919 b,,0.201,11.04603384,2016
3272,Kepler-92 b,0.189,0.326,13.748933,2013
3273,Kepler-92 c,0.0179,0.219,26.72311,2013
3274,Kepler-92 d,,0.1844,49.3568,2015
3275,Kepler-920 b,,0.216,6.53192704,2016
3276,Kepler-920 c,,0.339,100.8274113,2016
3277,Kepler-921 b,,0.256,51.300634,2016
3278,Kepler-922 b,,0.127,0.93846683,2016
3279,Kepler-923 b,,0.123,6.93366476,2016
3280,Kepler-924 b,,0.274,61.0370117,2016
3281,Kepler-925 b,,0.209,33.8678531,2016
3282,Kepler-926 b,,0.206,52.0688601,2016
3283,Kepler-927 b,,0.153,9.1149903,2016
3284,Kepler-928 b,,0.142,3.9324613,2016
3285,Kepler-929 b,,0.099,0.92103214,2016
3286,Kepler-93 b,0.0126,0.132304634,4.72673978,2014
3287,Kepler-930 b,,0.19,71.4517775,2016
3288,Kepler-931 b,,0.119,8.03755877,2016
3289,Kepler-932 b,,0.122,1.9214374,2016
3290,Kepler-933 b,,0.219,14.20443009,2016
3291,Kepler-934 b,,0.186,55.6738309,2016
3292,Kepler-935 b,,0.12,4.88083852,2016
3293,Kepler-936 b,,0.129,10.56134221,2016
3294,Kepler-937 b,,0.332,67.668827,2016
3295,Kepler-937 c,,0.238,153.343364,2016
3296,Kepler-938 b,,0.198,52.6298417,2016
3297,Kepler-939 b,,0.156,14.878296,2016
3298,Kepler-94 b,0.03411,0.313,2.50806,2014
3299,Kepler-94 c,9.836,,820,2014
3300,Kepler-940 b,,0.298,59.6225257,2016
3301,Kepler-941 b,,0.275,17.42395198,2016
3302,Kepler-942 b,,0.19,44.96417488,2016
3303,Kepler-944 b,,0.235,43.3167737,2016
