row,name,mass,planetaryRadius,orbitalPeriod,discoveryYear
531,HD 162004 b,1.53,,3117,2015
532,HD 162020 b,14.4,,8.428198,2002
533,HD 163296 b,0.3,,,2016
534,HD 163296 c,0.3,,,2016
535,HD 163607 b,0.77,,75.229,2011
536,HD 163607 c,2.29,,1314,2011
537,HD 16417 b,0.069,,17.24,2009
538,HD 164509 b,0.48,,282.4,2011
539,HD 164595 b,0.0516,,40,2015
540,HD 164604 b,2.7,,606.4,2010
541,HD 164922 b,0.3385,,1201.1,2006
542,HD 164922 c,0.0406,,75.765,2016
543,HD 165155 b,2.89,,434.5,2016
544,HD 1666 b,6.43,,270,2015
545,HD 166724 b,3.53,,8100,2011
546,HD 167042 b,1.6,,416.1,2007
547,HD 168443 b,7.659,,58.11247,1998
548,HD 168443 c,29.463,,1749.83,2001
549,HD 168746 b,0.23,,6.403,2002
550,HD 1690 b,6.1,,533,2010
551,HD 169830 b,2.88,,225.62,2000
552,HD 169830 c,4.04,,2102,2003
553,HD 170469 b,0.67,,1145,2007
554,HD 17092 b,4.6,,359.9,2007
555,HD 171028 b,1.98,,550,2007
556,HD 171238 b,2.6,,1523,2009
557,HD 17156 b,3.195,1.095,21.2163979,2007
558,HD 173416 b,2.7,,323.6,2009
559,HD 175167 b,7.8,,1290,2010
560,HD 175370 b,4.6,,349.5,2016
561,HD 175541 b,0.61,,297.3,2007
562,HD 175607 b,0.0283,,29.01,2015
563,HD 176051 b,1.5,,1016,2010
564,HD 17674 b,0.87,,623.8,2017
565,HD 176986 b,0.0181,,6.4898,2017
566,HD 176986 c,0.0289,,16.8191,2017
567,HD 177830 b,1.49,,406.6,1999
568,HD 177830 c,0.15,,110.9,2010
569,HD 178911 B b,6.292,,71.487,2001
570,HD 179079 b,0.08,,14.476,2009
571,HD 179949 b,0.92,1.05,3.0925,2000
572,HD 180314 b,22,,396.03,2010
573,HD 180777 b,25,,28.44,2006
574,HD 180902 b,1.6,,479,2010
575,HD 181342 b,2.9,,562,2010
